id,name,state,category,latitude,longitude,price_range,rating,review_count,description,best_season,image_url
230,"Gompa Buddhist Temple - Itanagar, Arunachal Pradesh, India",Arunachal Pradesh,attraction,27.103262,93.626047,budget,4.3,2748,"Gompa Buddhist Temple - Itanagar, Arunachal Pradesh, India is a renowned religious landmark situated in Naharlagun, Papum Pare district of Arunachal Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://images.unsplash.com/photo-1544717305-2782549b5136?w=800&auto=format&fit=crop&q=80
231,State Museum,Arunachal Pradesh,attraction,27.102013,93.625016,mid,4.1,906,"State Museum is a renowned cultural landmark situated in Naharlagun, Papum Pare district of Arunachal Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://images.unsplash.com/photo-1544531586-fde5298cdd40?w=800&auto=format&fit=crop&q=80
232,"Taktsang Gompa, Tawang - Bumla Road, Tawang",Arunachal Pradesh,attraction,27.717188,91.801922,budget,4.3,2708,"Taktsang Gompa, Tawang - Bumla Road, Tawang is a renowned religious landmark situated in Tawang, Tawang district of Arunachal Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1518495973542-4542c06a5843?w=800&auto=format&fit=crop&q=80
233,Tawang Monastery (Galden Namgey Lhatse),Arunachal Pradesh,attraction,27.586111,91.859444,budget,4.9,9896,"Founded in 1680-1681 by Merak Lama Lodre Gyatso, perched like a fortress at 10,000 feet (3,048 m) in the Eastern Himalayas, India's largest Buddhist monastery and the second largest in the world after the Potala Palace in Lhasa.",Oct-Feb,https://images.unsplash.com/photo-1518495973542-4542c06a5843?w=800&auto=format&fit=crop&q=80
234,"Bomdila Buddhist Monastery - Bomdila, West Kameng District, Arunachal Pradesh, India",Arunachal Pradesh,attraction,27.270512,91.418578,budget,4.3,2423,"Bomdila Buddhist Monastery - Bomdila, West Kameng District, Arunachal Pradesh, India is a renowned religious landmark situated in Tawang, West Kameng district of Arunachal Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1518495973542-4542c06a5843?w=800&auto=format&fit=crop&q=80
235,Buddha Park,Arunachal Pradesh,attraction,27.6094,91.8784,budget,3.9,264,"Buddha Park is a renowned recreation landmark situated in Tawang, West Kameng district of Arunachal Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?w=800&auto=format&fit=crop&q=80
236,Mandala Associates,Arunachal Pradesh,attraction,27.28715,92.43235,budget,4.6,6104,"Mandala Associates is a renowned religious landmark situated in Bomdila, West Kameng district of Arunachal Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1544717305-2782549b5136?w=800&auto=format&fit=crop&q=80
237,Namdapha National Park,Arunachal Pradesh,attraction,27.47088,96.55524,budget,4.2,2202,"Namdapha National Park, situated in the Changlang district of Arunachal Pradesh, is the largest protected area in the Eastern Himalayas, covering an area of approximately 1,985 square kilometers. The park is known for its diverse range of flora and fauna, including several endangered species such as the snow leopard, clouded leopard, and the white-bellied heron. The region's unique geography, with elevations ranging from 200 to 4,500 meters above sea level, has created a variety of habitats that support an incredible array of plant and animal life. Visitors to the park can experience the stunning natural beauty of the Himalayas, with its lush forests, sparkling rivers, and snow-capped peaks, making it a true paradise for nature lovers and adventure seekers. The park's rich cultural heritage, with several ethnic tribes inhabiting the surrounding areas, adds another layer of depth to the visitor experience, offering a glimpse into the traditional ways of life of the region's indigenous people.",Oct-Feb,https://images.unsplash.com/photo-1549366021-9f761d450615?w=800&auto=format&fit=crop&q=80
238,Anini,Arunachal Pradesh,attraction,28.79693,95.90448,budget,4.2,1599,"Perched at an altitude of 2,451 meters, Anini in the state of Arunachal Pradesh is a quaint hill station renowned for its enchanting natural beauty and rich biodiversity. The region is blanketed with rhododendron and pine forests, providing a kaleidoscope of colours during the warmer months. As one ventures into Anini, the tranquil atmosphere and the mesmerising vistas of the surrounding mountains unfold a haven for nature enthusiasts, photographers and birdwatchers alike.",Oct-Feb,https://images.unsplash.com/photo-1590050752117-238cb0fb12b1?w=800&auto=format&fit=crop&q=80
239,Pasighat,Arunachal Pradesh,attraction,28.05897,95.33249,budget,3.9,982,"Pasighat, situated in the East Siang district of Arunachal Pradesh, is a charming hill station nestled in the Eastern Himalayas. The town is steeped in history and culture, with evidence of human habitation dating back to the Neolithic period. With its stunning natural beauty, Pasighat is a trekker's paradise, offering breathtaking views of the surrounding mountains and valleys. The town is also a haven for birdwatchers and nature enthusiasts, with its lush forests and diverse wildlife. Visitors can soak in the serene atmosphere, explore the local markets, and experience the unique culture of the Adi tribe, the indigenous inhabitants of the region.",Oct-Mar,https://images.unsplash.com/photo-1561361513-2d000a50f0dc?w=800&auto=format&fit=crop&q=80
